Date,ARM,IONQ,TSM,POET,AVGO,AMD,QUBT,AASI.MI,MWEQ.MI,QBTS,Liquidita,Liquidita Impegnata,Valore Titoli,NAV,Cash Flow,TWRR Giornaliero,TWRR Cumulativo
2025-05-28,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,442.24,442.24,0.0,0.0087,0.0434
2025-05-29,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,423.84,423.84,0.0,-0.0416,-0.0001
2025-06-02,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,153.99,725.68,561.97,715.96,300.0,-0.0186,-0.0186
2025-06-03,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,153.99,725.68,572.2,726.19,0.0,0.0143,-0.0046
2025-06-04,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,153.99,725.68,574.71,728.7,0.0,0.0035,-0.0012
2025-06-05,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,153.99,725.68,556.25,710.24,0.0,-0.0253,-0.0265
2025-06-09,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,153.99,725.68,595.83,749.82,0.0,0.0557,0.0278
2025-06-10,2.0,4.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,27.68,725.68,719.45,747.13,0.0,-0.0036,0.0241
2025-06-11,2.0,4.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,27.68,725.68,740.76,768.44,0.0,0.0285,0.0533
2025-06-12,2.0,4.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,27.68,725.68,712.63,740.31,0.0,-0.0366,0.0147
2025-06-16,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,169.56,725.68,597.84,767.4,0.0,0.0366,0.0519
2025-06-17,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.14,1025.68,1061.85,1065.99,300.0,-0.0018,0.0499
2025-06-18,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.14,1025.68,1068.49,1072.63,0.0,0.0062,0.0565
2025-06-19,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.14,1025.68,1065.22,1069.36,0.0,-0.0031,0.0532
2025-06-23,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.14,1025.68,1062.15,1066.29,0.0,-0.0029,0.0502
2025-06-24,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.14,1025.68,1096.08,1100.22,0.0,0.0318,0.0836
2025-06-25,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.14,1025.68,1079.65,1083.79,0.0,-0.0149,0.0675
2025-06-26,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.14,1025.68,1098.21,1102.35,0.0,0.0171,0.0857
2025-06-30,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.45,1025.68,1123.54,1127.99,0.0,0.0233,0.111
2025-07-01,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.45,1025.68,1078.6,1083.05,0.0,-0.0398,0.0667
2025-07-02,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.45,1025.68,1122.9,1127.35,0.0,0.0409,0.1104
2025-07-03,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.45,1025.68,1135.05,1139.5,0.0,0.0108,0.1223
2025-07-07,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.45,1025.68,1113.09,1117.54,0.0,-0.0193,0.1007
2025-07-08,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.45,1025.68,1111.02,1115.47,0.0,-0.0019,0.0987
2025-07-09,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.45,1025.68,1119.78,1124.23,0.0,0.0079,0.1073
2025-07-10,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.34,1025.68,1131.32,1135.66,0.0,0.0102,0.1186
2025-07-14,2.0,5.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,5.0,4.34,1025.68,1114.22,1118.56,0.0,-0.0151,0.1017
